Area_of_Origin,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Fire_Alarm_System_Presence,Ignition_Source,Latitude,Longitude,Material_First_Ignited,Possible_Cause
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.76741,-79.19066,"Cooking Oil, Grease",Unattended
Chimney/Flue Pipe,0,0,2000,0,Fire alarm system present,Wood burning stove,43.61707,-79.50526,"Creosote (chimney, flue pipe)",Design/Construction/Installation/Maintenance Deficiency
Cooking Area or Kitchen,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.72764,-79.52287,"Cooking Oil, Grease",Improper handling of ignition source or ignited material
"Dining or Beverage Area (inc mess, canteen, lunchroom, cafeteria",0,0,2000,0,Fire alarm system present,"Incandescent Lamp - Light Bulb, Spotlight",43.68416,-79.41339,Linen Other than Bedding,Other misuse of ignition source/material ignited
"Trash, rubbish area (outside)",0,0,2000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.75251,-79.51649,"Upholstered Sofa, Chair, etc.",Improperly Discarded
Garage,1,0,2000,0,Undetermined,Cutting/Welding Equipment,43.77912,-79.40321,Wood,Improperly Discarded
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,"Stove, Range-top burner",43.7714,-79.24812,Cabinetry,Unattended
Laundry Area,0,0,2000,0,Undetermined,Cutting/Welding Equipment,43.71695,-79.55598,Other,"Routine maintenance deficiency, eg creosote, lint, grease buildup"
Garage,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Incandescent Lamp - Light Bulb, Spotlight",43.79164,-79.14354,"Paper, Cardboard",Improper Storage
Awning or Canopy,0,0,2000,0,Fire alarm system present,Undetermined,43.70821,-79.39868,Interior Wall/Ceiling,"Unintentional, cause undetermined"
"Ducting - Exhaust (inc cooking, fumes, etc.)",0,0,2000,0,Fire alarm system present,Other,43.70445,-79.26966,"Rubber, not classified above","Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.6472,-79.52551,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.78483,-79.19543,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Porch or Balcony,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.66288,-79.46926,Plastic,Improperly Discarded
"Sales, Showroom Area",1,0,2000,0,Fire alarm system present,Space Heater - Portable,43.66817,-79.36956,"Rubbish, Trash, Waste","Unintentional, cause undetermined"
Attached Deck,0,0,2000,0,No Fire alarm system,Undetermined,43.73493,-79.29892,Undetermined (formerly 98),"Unintentional, cause undetermined"
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,2000,0,Fire alarm system present,"Incandescent Lamp - Light Bulb, Spotlight",43.72542,-79.41689,Linen Other than Bedding,Used or Placed too close to combustibles
Basement/cellar (not partitioned),0,0,2000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.65073,-79.37069,Exterior Cladding,Improperly Discarded
Chimney/Flue Pipe,0,0,2000,0,Fire alarm system present,Other Mechanical,43.74002,-79.2153,Nest,Design/Construction/Installation/Maintenance Deficiency
Exterior Wall,0,0,2000,0,Fire alarm system present,Florescent Lamp (includes ballast),43.6631,-79.52015,Other,Electrical Failure
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,2000,0,Undetermined,"Exposure, source open fire (inc campfire, rubbish fire)",43.65837,-79.47672,"Rubbish, Trash, Waste",Undetermined
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,2000,0,Undetermined,Undetermined,43.7952,-79.26458,"Rubbish, Trash, Waste",Undetermined
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,"Stove, Range-top burner",43.71268,-79.49676,Electrical Wiring Insulation,Electrical Failure
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,Deep Fat Fryer,43.72236,-79.50898,"Cooking Oil, Grease",Improper handling of ignition source or ignited material
"Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",2,0,2000,0,No Fire alarm system,Undetermined,43.65651,-79.39747,"Mattress, Pillow",Undetermined
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,"Stove, Range-top burner",43.80829,-79.18823,"Rubbish, Trash, Waste",Used or Placed too close to combustibles
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,"Stove, Range-top burner",43.68713,-79.48986,Plastic,Unattended
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.71979,-79.30059,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Attached Deck,0,0,2000,0,No Fire alarm system,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.64405,-79.40555,"Rubbish, Trash, Waste",Improperly Discarded
Cooking Area or Kitchen,1,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.67815,-79.4658,"Cooking Oil, Grease",Unattended
Porch or Balcony,0,0,2000,0,No Fire alarm system,"Hot Ashes, Embers, Spark",43.68397,-79.38774,Structural Member,"Other unintentional cause, not classified"
"Lobby, Entranceway",0,0,2000,0,Fire alarm system present,Undetermined,43.6654,-79.46456,"Paper, Cardboard",Undetermined
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.70312,-79.4155,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,Oven,43.67441,-79.44713,Multiple Objects or Materials,Design/Construction/Installation/Maintenance Deficiency
Cooking Area or Kitchen,0,0,2000,0,Undetermined,"Stove, Range-top burner",43.77939,-79.27475,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,Undetermined,43.6266,-79.50153,Undetermined (formerly 98),Unattended
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",43.66278,-79.42206,Linen Other than Bedding,Used or Placed too close to combustibles
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.64021,-79.39443,Cabinetry,"Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",43.78741,-79.25912,"Cooking Oil, Grease","Other unintentional cause, not classified"
"Fuel Systems (eg. fuel tank, etc.)",0,0,2000,0,Undetermined,Vehicle - Electrical,43.67208,-79.32291,Vehicle,Improper handling of ignition source or ignited material
Exterior Wall,0,0,2000,0,No Fire alarm system,Cutting/Welding Equipment,43.67516,-79.39385,Other Building Component,"Other unintentional cause, not classified"
"Ducting - Exhaust (inc cooking, fumes, etc.)",0,0,2000,0,Fire alarm system present,"Heat Treatment Equipment (eg. furnace, oven, kiln, quench tanks,",43.72874,-79.43195,Plastic,Electrical Failure
Cooking Area or Kitchen,0,0,2000,0,Undetermined,"Stove, Range-top burner",43.6762,-79.35887,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Porch or Balcony,0,0,2000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.64084,-79.42528,"Non-upholstered Chair, etc.",Improperly Discarded
"Fuel Systems (eg. fuel tank, etc.)",0,0,2000,0,Undetermined,Open Fired Barbeque - Fixed or Portable,43.79401,-79.27874,Propane,Unattended
Garage,0,0,2000,0,No Fire alarm system,Undetermined,43.66206,-79.44586,Multiple Objects or Materials,Undetermined
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,Open Fired Barbeque - Fixed or Portable,43.78618,-79.47476,Undetermined (formerly 98),Undetermined
Elevator (includes shaft),0,0,2000,0,No Fire alarm system,Other Mechanical,43.70673,-79.39837,Undetermined (formerly 98),Mechanical Failure
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Cutting/Welding Equipment,43.67212,-79.3313,Insulation,"Other unintentional cause, not classified"
Exterior Wall,0,0,2000,0,Undetermined,Other Electrical Distribution Item,43.7003,-79.42883,Wood,Design/Construction/Installation/Maintenance Deficiency
Chimney/Flue Pipe,0,0,2000,0,Fire alarm system present,Wood burning stove,43.66568,-79.40868,"Creosote (chimney, flue pipe)","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.72814,-79.57466,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Other Mechanical,43.61612,-79.49531,Other Building Component,Mechanical Failure
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,Deep Fat Fryer,43.76851,-79.18882,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Other Outside Area,0,0,2000,0,No Fire alarm system,Open Fired Barbeque - Fixed or Portable,43.64935,-79.55718,Undetermined (formerly 98),"Unintentional, cause undetermined"
"Living Area (e.g. living, TV, recreation, etc)",0,0,2000,0,Fire alarm system present,Undetermined,43.63664,-79.44157,Wearing Apparel on a Person,Undetermined
Porch or Balcony,0,0,2000,0,No Fire alarm system,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.8225,-79.27399,Wood,Improper handling of ignition source or ignited material
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.65016,-79.48938,Multiple diverse objects ignited,"Unintentional, cause undetermined"
Engine Area,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.68423,-79.484,Undetermined (formerly 98),Undetermined
Residential/Business: Other busines area,0,0,2000,0,Fire alarm system present,Oven,43.75983,-79.49008,Other,Mechanical Failure
Office,0,0,2000,0,Fire alarm system present,"Television, Radio, Stereo, Tape Recorder, etc.",43.76134,-79.46374,Other,Undetermined
"Trash, rubbish area (outside)",0,0,2000,0,Undetermined,Undetermined,43.72184,-79.58277,"Rubbish, Trash, Waste",Undetermined
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.79021,-79.24891,"Cooking Oil, Grease",Unattended
Undetermined  (formerly 98),0,0,2000,0,No Fire alarm system,Undetermined,43.66954,-79.46632,Undetermined (formerly 98),Undetermined
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.78091,-79.42746,"Cooking Oil, Grease",Improper handling of ignition source or ignited material
"Living Area (e.g. living, TV, recreation, etc)",0,0,2000,0,No Fire alarm system,Undetermined,43.64828,-79.45766,"Upholstered Sofa, Chair, etc.",Undetermined
Garage,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Hot Ashes, Embers, Spark",43.78048,-79.41232,Plastic,Improperly Discarded
Garage,0,0,2000,0,Fire alarm system present,Vehicle - Electrical,43.74478,-79.48645,Vehicle,Electrical Failure
Electrical Systems,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Vehicle - Electrical,43.69643,-79.49016,Vehicle,Mechanical Failure
Cooking Area or Kitchen,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.6603,-79.47141,Plastic,Unattended
Exterior Wall,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Blow Torch, Bunsen Burner",43.68878,-79.44042,Exterior Cladding,Design/Construction/Installation/Maintenance Deficiency
Other - unclassified,0,0,2000,0,No Fire alarm system,Undetermined,43.73334,-79.39295,Wood,Undetermined
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",43.80266,-79.16795,Electrical Wiring Insulation,Design/Construction/Installation/Maintenance Deficiency
"HVAC Equipment Room (furnace room, water heater closet, boiler)",0,0,2000,0,Fire alarm system present,Water Heater,43.66311,-79.37835,Wood,Design/Construction/Installation/Maintenance Deficiency
Porch or Balcony,0,0,2000,0,Fire alarm system present,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.70581,-79.49023,"Upholstered Sofa, Chair, etc.",Improperly Discarded
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.65616,-79.37012,"Cooking Oil, Grease",Unattended
Residential/Business: Restaurant area,0,0,2000,0,No Fire alarm system,"Chemical Reaction (eg. spontaneous combustion, etc.)",43.74512,-79.29592,"Oily rags (inc. paint rags, etc)",Improperly Discarded
"Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Undetermined,43.63867,-79.41396,"Rubbish, Trash, Waste",Undetermined
Other - unclassified,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Stove, Range-top burner",43.71813,-79.25922,"Cooking Oil, Grease","Other unintentional cause, not classified"
Other Outside Area,0,0,2000,0,Undetermined,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",43.65179,-79.40849,Wood,Improperly Discarded
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.71836,-79.33141,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,Oven,43.71049,-79.43235,Other Building Component,Design/Construction/Installation/Maintenance Deficiency
Other Outside Area,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),"Incandescent Lamp - Light Bulb, Spotlight",43.75329,-79.53626,Plastic,Electrical Failure
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,"Stove, Range-top burner",43.65157,-79.43759,"Cooking Oil, Grease",Unattended
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,Oven,43.78158,-79.16398,Other,Unattended
"Lobby, Entranceway",0,0,2000,0,Fire alarm system present,"Chemical Reaction (eg. spontaneous combustion, etc.)",43.69114,-79.38906,"Oily rags (inc. paint rags, etc)",Improperly Discarded
Garage,0,0,2000,0,Undetermined,"Hot Ashes, Embers, Spark",43.75408,-79.19638,Multiple Objects or Materials,Rekindle
"Washroom or Bathroom (toilet,restroom/locker room)",0,0,2000,0,No Fire alarm system,"Blow Torch, Bunsen Burner",43.63567,-79.51277,Structural Member,Improper handling of ignition source or ignited material
"Parking Area, Parking Lot",0,0,2000,0,No Fire alarm system,Other Mechanical,43.67052,-79.45446,"Asphalt, Tar Product",Mechanical Failure
Cooking Area or Kitchen,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Oven,43.76024,-79.28518,"Cooking Oil, Grease",Unattended
"Ducting - Exhaust (inc cooking, fumes, etc.)",0,0,2000,0,Fire alarm system present,Undetermined,43.76,-79.55806,"Other Flammable, Combustible Liquid",Undetermined
Laundry Area,0,0,2000,0,Fire alarm system present,Clothes Dryer,43.66825,-79.30805,Undetermined (formerly 98),"Routine maintenance deficiency, eg creosote, lint, grease buildup"
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,"Stove, Range-top burner",43.73092,-79.44134,"Cooking Oil, Grease","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Chimney/Flue Pipe,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Fireplace - Masonry,43.65689,-79.46848,Interior Wall/Ceiling,Design/Construction/Installation/Maintenance Deficiency
Chimney/Flue Pipe,0,0,2000,0,Not applicable (bldg not classified by OBC OR detached/semi/town home),Fireplace - Masonry,43.74808,-79.50806,"Creosote (chimney, flue pipe)","Routine maintenance deficiency, eg creosote, lint, grease buildup"
Cooking Area or Kitchen,0,0,2000,0,No Fire alarm system,Oven,43.64776,-79.36945,Other,"Other unintentional cause, not classified"
Cooking Area or Kitchen,0,0,2000,0,Fire alarm system present,Oven,43.68845,-79.30055,"Cooking Oil, Grease",Unattended
